goods,purchases,parking,rental_bag,date
25,,0,2,2023-01-01
17,88450.0,1,2,2022-11-28
3,14090.0,1,0,2023-01-25
26,134090.0,0,2,2023-01-29
30,207140.0,0,2,2023-01-23
25,197390.0,1,2,2023-01-04
24,173490.0,1,2,2022-12-26
10,,1,1,2023-01-11
17,153540.0,1,2,2023-02-19
10,503690.0,0,1,2023-02-06
16,227200.0,0,2,2023-02-01
31,113290.0,1,2,2022-12-23
1,3370.0,1,0,2023-02-06
10,278480.0,1,0,2023-01-05
13,,1,2,2022-11-12
8,73950.0,0,1,2023-01-06
23,664320.0,1,0,2023-01-08
15,19100.0,1,2,2022-12-31
31,201990.0,0,2,2022-12-28
0,,1,0,2023-01-17
14,76000.0,1,2,2023-02-24
13,87180.0,1,2,2022-11-09
14,100600.0,0,0,2023-01-20
20,174020.0,1,2,2023-02-05
7,116960.0,1,1,2023-01-22
22,174050.0,1,2,2022-12-18
10,,0,1,2022-12-08
10,,0,1,2022-11-12
27,209100.0,1,2,2023-01-07
14,,0,2,2022-12-06
18,,0,2,2023-02-10
27,168010.0,0,2,2022-12-23
19,350910.0,0,2,2022-11-15
5,,0,1,2023-02-21
30,154530.0,1,2,2023-02-01
15,,1,0,2023-01-26
13,54270.0,1,0,2022-11-28
24,120940.0,1,2,2023-02-13
27,474770.0,1,2,2022-12-26
9,46270.0,0,0,2023-02-11
1,127610.0,0,2,2022-11-08
19,163160.0,0,2,2023-02-23
21,174310.0,1,0,2023-01-08
30,171200.0,1,2,2023-01-02
24,20180.0,0,2,2023-01-09
0,0.0,0,0,2022-12-18
4,725380.0,1,1,2022-12-09
17,548840.0,0,2,2023-02-14
3,27140.0,0,0,2023-02-05
1,4260.0,0,2,2023-01-09
10,73120.0,1,1,2022-12-16
21,,0,2,2022-12-20
11,69580.0,0,0,2022-12-18
17,58170.0,0,0,2022-11-14
31,199290.0,0,2,2023-02-20
15,401360.0,0,2,2023-02-05
31,,1,2,2023-01-11
21,137800.0,0,0,2023-02-19
17,160980.0,0,2,2023-01-17
16,,0,2,2022-11-26
30,130750.0,1,2,2023-02-13
27,221110.0,1,2,2022-12-13
9,47850.0,1,1,2022-12-31
29,254940.0,0,0,2023-01-18
17,97140.0,0,2,2022-11-26
24,254060.0,0,2,2022-11-09
10,39130.0,0,1,2023-02-14
30,659730.0,1,2,2023-02-11
25,,0,2,2023-02-01
11,66480.0,1,1,2023-02-05
0,0.0,0,0,2023-01-06
15,134600.0,0,0,2023-02-15
15,84830.0,1,0,2023-02-07
11,80560.0,0,0,2023-02-03
24,,1,2,2023-01-21
1,6410.0,0,0,2023-02-02
6,51170.0,0,0,2023-01-07
29,156970.0,0,2,2023-01-17
29,212040.0,0,2,2022-11-02
16,577670.0,1,2,2022-11-19
2,13770.0,1,0,2023-02-22
1,,0,0,2022-12-09
20,91170.0,0,2,2022-12-31
29,250840.0,0,0,2022-11-22
27,167880.0,0,0,2022-11-15
19,,1,2,2022-11-14
17,451110.0,0,0,2023-01-16
21,78900.0,0,2,2023-01-09
25,165500.0,0,2,2022-11-11
1,,0,2,2022-12-23
7,47580.0,1,1,2023-02-19
24,388500.0,0,2,2023-01-19
21,153590.0,1,2,2022-12-04
8,52160.0,1,1,2022-11-06
8,39840.0,0,0,2023-01-07
3,11390.0,0,2,2023-01-31
4,,1,2,2023-02-17
29,241620.0,1,2,2022-11-11
12,77740.0,0,1,2022-12-12
30,254300.0,1,2,2022-11-24
24,99140.0,1,2,2023-02-04
28,,0,2,2022-11-26
25,,1,0,2022-11-08
22,141150.0,0,2,2022-12-30
15,136550.0,0,2,2022-12-18
6,,0,0,2022-11-07
7,36000.0,0,1,2022-12-11
2,160370.0,1,0,2023-02-05
9,45660.0,0,1,2023-01-31
9,65060.0,1,0,2023-02-20
4,18720.0,1,0,2022-11-09
21,120930.0,1,0,2023-01-02
31,224750.0,0,2,2022-11-20
4,828050.0,0,0,2023-01-27
7,41100.0,0,1,2023-01-24
0,0.0,1,1,2023-01-09
21,110600.0,0,0,2022-11-03
10,85110.0,1,1,2023-01-17
13,59920.0,1,2,2022-12-10
13,54090.0,0,0,2022-11-01
30,250290.0,1,0,2022-12-25
5,,0,0,2022-12-30
29,,0,0,2022-12-11
31,319670.0,0,2,2022-11-24
25,220330.0,0,2,2022-11-20
9,60040.0,0,1,2023-01-02
16,414240.0,0,2,2022-11-13
29,215720.0,0,2,2023-01-26
20,76770.0,0,0,2023-01-17
22,285200.0,0,2,2023-02-12
13,117550.0,1,2,2023-02-07
11,,0,0,2022-12-14
10,194710.0,0,1,2023-02-22
30,116380.0,1,2,2022-11-30
0,0.0,1,0,2022-11-27
11,319930.0,1,0,2023-01-21
19,81600.0,1,2,2022-11-19
11,44040.0,1,1,2023-02-01
5,,0,1,2022-12-27
30,,0,2,2022-12-09
0,0.0,0,0,2022-11-21
8,55300.0,0,1,2023-02-22
22,,0,2,2023-01-25
11,372810.0,1,1,2022-11-19
14,,0,2,2023-01-30
12,58740.0,0,0,2022-12-06
14,63460.0,1,0,2022-12-26
0,0.0,0,2,2023-01-11
6,55520.0,0,1,2023-01-30
19,112290.0,0,0,2023-02-26
23,,0,2,2023-01-27
13,73150.0,1,0,2022-11-12
6,25730.0,1,0,2022-12-03
31,152500.0,0,2,2022-11-12
19,76740.0,1,2,2022-11-27
25,134550.0,0,2,2022-11-22
10,62940.0,0,1,2022-11-18
21,199500.0,1,2,2023-01-06
4,673840.0,1,0,2022-11-16
30,180360.0,0,0,2022-12-28
24,,0,2,2022-12-15
26,807380.0,0,2,2023-02-15
27,200480.0,0,2,2023-01-17
30,231870.0,0,2,2023-02-22
7,798110.0,1,1,2023-02-08
31,576560.0,1,0,2022-11-30
14,60030.0,0,2,2022-11-13
2,111980.0,1,0,2023-01-21
26,131210.0,0,2,2022-11-25
2,12800.0,0,0,2023-02-09
21,164760.0,0,0,2022-11-09
18,134550.0,0,2,2023-01-04
10,34250.0,1,1,2023-02-09
25,731580.0,0,0,2023-01-03
18,495590.0,1,0,2022-12-23
16,123400.0,1,0,2023-02-11
26,160010.0,1,2,2022-12-02
31,,0,2,2022-11-06
14,99260.0,1,2,2022-11-03
0,,1,2,2022-11-20
28,205160.0,1,2,2022-12-15
18,86970.0,1,2,2022-11-16
31,135890.0,0,2,2022-12-24
24,,1,2,2022-11-06
4,20340.0,0,1,2022-12-01
8,,0,0,2022-12-09
13,46960.0,1,2,2023-02-05
12,723030.0,1,1,2022-12-25
22,78440.0,0,2,2022-11-26
20,68900.0,0,0,2022-12-24
22,,0,0,2022-11-19
21,191230.0,1,2,2022-12-01
3,17040.0,0,0,2023-02-02
16,63750.0,0,2,2023-02-14
17,272500.0,1,2,2022-12-26
22,197730.0,1,2,2023-01-06
12,71050.0,0,1,2023-01-20
24,116190.0,1,2,2022-12-15
4,32050.0,1,0,2022-11-04
29,162400.0,1,2,2022-12-30
23,605380.0,0,2,2023-01-09
19,,0,2,2023-01-30
18,88590.0,0,2,2022-12-09
30,245810.0,1,2,2022-11-22
8,41560.0,0,1,2022-12-02
20,353420.0,0,2,2023-02-25
24,101140.0,0,2,2022-12-11
26,397000.0,0,2,2023-01-04
1,4700.0,1,2,2023-01-08
19,160380.0,1,2,2023-02-10
19,140950.0,1,2,2023-02-28
22,98220.0,0,2,2023-02-06
9,65340.0,0,0,2023-01-23
15,134340.0,0,2,2022-11-23
4,34020.0,0,1,2022-12-15
29,120670.0,0,2,2023-01-02
1,5210.0,0,0,2023-01-28
30,174300.0,0,2,2023-02-26
1,8570.0,0,2,2023-02-07
27,236550.0,1,2,2022-11-09
22,205650.0,1,2,2022-12-07
23,130630.0,1,2,2022-12-11
8,61260.0,1,1,2022-11-17
13,107460.0,1,2,2022-12-09
26,84150.0,0,2,2022-11-17
5,,1,0,2023-01-15
25,101010.0,0,2,2022-12-30
19,161350.0,1,2,2023-01-22
29,249800.0,1,2,2022-12-30
23,522010.0,1,2,2022-11-18
8,36660.0,1,1,2023-02-02
25,209280.0,0,2,2023-02-02
4,25400.0,1,0,2023-01-08
12,88900.0,0,0,2023-02-17
10,86970.0,0,1,2022-11-13
7,,1,1,2023-02-04
27,256160.0,1,2,2023-02-01
6,55240.0,1,1,2023-02-10
7,492560.0,1,1,2023-01-21
12,93500.0,1,1,2022-11-01
20,124090.0,1,2,2023-02-20
3,11930.0,0,1,2023-01-23
26,98080.0,1,2,2022-12-24
22,183130.0,1,2,2022-12-10
12,90520.0,0,1,2023-01-06
20,101350.0,1,2,2022-11-24
14,110860.0,1,2,2023-02-06
28,165590.0,0,0,2022-12-19
20,167320.0,1,2,2022-12-29
21,85920.0,1,2,2023-02-06
15,59910.0,1,2,2023-01-02
3,18750.0,0,1,2023-01-17
22,92360.0,1,2,2022-11-27
19,137700.0,0,2,2023-01-20
11,,0,1,2022-12-24
9,,1,1,2023-02-01
24,116970.0,1,2,2022-12-25
20,116450.0,1,0,2022-12-07
9,43300.0,1,0,2022-11-02
26,131450.0,1,2,2023-01-16
12,,0,0,2022-11-18
21,,1,2,2022-11-23
11,36750.0,0,0,2023-01-17
14,87320.0,1,0,2022-11-04
22,97620.0,1,2,2022-12-02
0,,1,0,2023-02-11
18,130370.0,0,2,2023-01-12
22,206850.0,1,2,2022-11-08
14,72810.0,1,2,2023-02-22
24,144930.0,1,0,2023-01-24
1,6790.0,0,0,2023-01-04
27,311730.0,0,2,2023-01-30
16,131280.0,0,2,2023-01-10
31,109580.0,0,2,2022-12-25
25,774460.0,0,2,2023-01-19
24,172340.0,1,2,2022-11-07
25,,1,2,2022-11-26
23,,1,2,2022-12-26
12,102090.0,0,1,2022-12-09
12,525200.0,1,1,2023-01-05
30,172620.0,1,2,2022-12-28
2,,0,1,2023-01-24
8,45850.0,1,1,2023-02-27
1,8380.0,1,1,2022-12-08
19,385380.0,1,0,2023-02-09
18,112310.0,1,2,2022-11-15
7,30160.0,0,0,2023-01-29
2,13620.0,1,0,2023-01-27
16,80570.0,1,2,2023-02-06
14,65880.0,1,2,2023-01-15
2,13900.0,0,0,2022-11-17
30,105180.0,1,2,2023-01-23
7,69740.0,0,1,2022-12-27
25,128450.0,1,2,2023-01-02
15,99350.0,1,2,2022-11-25
22,194380.0,1,2,2023-02-11
28,220950.0,0,2,2023-01-29
2,,1,0,2022-11-25
16,,0,0,2023-02-28
31,202770.0,1,2,2023-02-07
11,68780.0,0,1,2023-01-11
27,97530.0,1,0,2023-02-15
17,92110.0,0,2,2022-12-16
10,45420.0,1,0,2023-01-25
13,46420.0,1,2,2022-11-23
30,,1,2,2023-01-22
15,332960.0,0,2,2022-12-16
31,156730.0,1,2,2023-01-07
27,,0,2,2022-12-10
3,338940.0,1,0,2023-01-30
18,163930.0,0,0,2022-12-29
21,,0,2,2022-12-14
30,213430.0,0,2,2023-02-02
10,,0,1,2023-02-27
4,437400.0,0,0,2023-02-17
13,68950.0,1,2,2022-11-11
4,,1,0,2023-02-12
11,87290.0,1,1,2023-02-03
2,519340.0,0,0,2022-12-30
29,113720.0,0,2,2022-11-16
11,45940.0,0,1,2022-11-15
27,201840.0,1,2,2023-01-30
6,20120.0,0,1,2022-11-21
6,26160.0,0,1,2023-02-06
7,38780.0,0,0,2022-11-17
23,195900.0,0,2,2023-02-13
22,,0,2,2022-12-20
13,393090.0,0,2,2022-11-25
19,158350.0,0,2,2022-12-10
23,165660.0,0,2,2023-01-05
2,13790.0,0,2,2023-02-22
29,,0,2,2022-11-22
24,97810.0,0,2,2022-12-07
26,11710.0,0,0,2022-12-11
31,109810.0,0,2,2022-11-14
18,95880.0,1,2,2022-11-07
7,40080.0,1,1,2022-12-18
1,5450.0,0,0,2023-01-30
1,7190.0,1,0,2023-01-03
22,154890.0,0,2,2022-11-03
11,60200.0,1,1,2022-12-25
30,878840.0,0,2,2022-12-13
26,159980.0,1,2,2022-12-26
27,125230.0,0,0,2023-02-26
11,539680.0,1,0,2022-11-12
31,954400.0,0,0,2022-11-16
15,73640.0,0,2,2022-12-08
22,126400.0,0,0,2023-01-09
13,72470.0,1,0,2022-12-14
29,242290.0,0,2,2023-02-07
30,269340.0,1,2,2022-11-12
6,23980.0,0,0,2023-02-26
25,168290.0,0,2,2023-02-18
21,150420.0,0,2,2022-12-10
7,950830.0,0,1,2022-12-27
17,133380.0,1,2,2022-11-30
8,,1,1,2023-02-16
22,,1,2,2023-02-11
22,,0,2,2022-11-28
17,108490.0,0,2,2023-01-04
20,185700.0,1,0,2023-01-01
15,106800.0,0,2,2023-01-12
27,196380.0,1,2,2022-11-04
6,40620.0,1,0,2022-12-20
22,382290.0,0,2,2022-11-21
14,99660.0,0,2,2022-11-23
28,149070.0,1,2,2023-01-17
9,73700.0,0,1,2022-12-08
17,123670.0,0,2,2023-01-26
31,861670.0,1,2,2023-02-15
5,34530.0,1,1,2022-11-26
16,135400.0,1,2,2023-01-23
11,94920.0,1,1,2022-12-21
10,82280.0,1,1,2023-01-10
15,604420.0,1,2,2022-12-01
29,,0,2,2022-12-04
8,,1,1,2023-01-03
14,95240.0,0,0,2023-02-01
29,273990.0,1,2,2022-11-01
11,259900.0,1,0,2022-12-08
24,191930.0,1,2,2023-01-21
20,,0,2,2023-02-24
17,55440.0,1,2,2023-02-23
7,64520.0,1,1,2023-01-27
9,72320.0,0,1,2022-12-02
26,181080.0,0,2,2022-12-10
25,163410.0,1,2,2022-11-01
7,43800.0,1,1,2022-11-16
31,1111230.0,0,2,2023-02-20
14,117160.0,0,2,2022-11-19
2,11890.0,0,1,2023-02-16
20,81970.0,0,0,2022-12-29
12,71300.0,0,1,2022-11-12
30,219560.0,0,2,2022-11-12
17,60260.0,0,2,2022-11-19
1,,1,0,2022-12-16
24,140130.0,0,0,2022-12-15
10,620240.0,0,1,2022-12-10
29,154750.0,1,2,2023-01-07
3,,1,2,2022-11-16
28,186100.0,1,0,2023-01-28
28,711130.0,1,0,2023-01-07
19,81780.0,1,2,2023-02-11
29,263280.0,1,2,2023-01-25
14,118070.0,0,2,2022-12-18
12,72560.0,1,1,2022-11-19
19,149690.0,0,0,2023-02-09
17,,1,2,2022-12-14
4,,0,0,2023-01-15
24,138210.0,1,0,2022-12-04
4,27840.0,0,1,2023-01-02
20,87170.0,0,2,2023-01-02
24,183540.0,1,2,2023-01-29
20,90480.0,1,0,2023-02-18
12,,0,1,2022-12-08
20,87770.0,1,2,2023-01-08
29,199930.0,0,2,2023-01-01
4,,0,1,2022-12-03
15,96640.0,0,2,2022-11-10
24,,1,2,2023-01-10
21,65320.0,0,0,2022-12-22
17,398000.0,0,2,2022-11-06
3,,1,2,2023-01-20
28,220960.0,1,0,2023-01-07
11,94630.0,0,0,2022-12-31
29,166590.0,0,2,2023-02-24
25,403300.0,1,2,2022-12-22
15,,0,2,2022-12-15
25,,0,0,2023-01-05
3,59970.0,0,1,2022-12-14
26,145940.0,1,0,2023-02-22
8,35570.0,1,1,2022-11-10
19,,0,0,2022-11-18
8,,1,1,2023-02-22
1,9430.0,0,0,2023-01-03
2,13200.0,1,0,2023-01-04
13,113010.0,1,2,2022-11-13
30,204320.0,0,2,2022-12-17
6,714940.0,1,0,2023-02-20
11,51570.0,1,0,2022-11-21
19,100050.0,1,2,2022-11-06
15,98120.0,0,0,2023-01-02
0,0.0,1,2,2023-02-10
9,61220.0,1,1,2022-12-07
26,,0,2,2022-12-20
26,530620.0,0,2,2023-01-20
12,117320.0,1,0,2022-12-01
6,53280.0,0,0,2022-11-02
7,44690.0,1,1,2022-12-06
22,,1,2,2022-12-14
15,70670.0,0,2,2022-12-21
17,332000.0,1,0,2023-02-16
6,23560.0,1,0,2023-02-07
9,49660.0,0,0,2023-02-12
7,104030.0,0,1,2022-11-25
1,8470.0,0,0,2022-12-02
1,6750.0,0,2,2022-12-27
22,93220.0,0,2,2023-02-02
14,239930.0,1,2,2022-11-12
23,180960.0,0,2,2022-12-02
7,524720.0,0,1,2023-02-28
3,11180.0,1,0,2022-11-05
28,149520.0,1,2,2022-12-22
30,268200.0,0,2,2022-12-21
5,,1,1,2023-02-16
25,192650.0,1,2,2023-01-27
10,73110.0,0,1,2023-02-27
12,79610.0,0,1,2023-02-19
12,62780.0,1,1,2022-11-13
19,147290.0,1,2,2022-12-24
14,66220.0,0,2,2022-12-11
9,,1,1,2022-11-02
10,57750.0,0,1,2023-01-02
24,,0,0,2022-12-05
7,,1,1,2022-12-26
16,80590.0,0,0,2022-12-05
2,15430.0,1,0,2022-12-19
15,,0,2,2023-01-08
1,6370.0,0,0,2022-12-21
1,5690.0,0,0,2023-01-04
19,,1,2,2023-02-02
27,133120.0,0,2,2022-12-07
14,,1,0,2023-01-19
14,,0,2,2022-11-15
14,,0,2,2023-02-27
18,,1,0,2022-12-10
10,,1,0,2022-12-25
20,171650.0,0,2,2022-12-17
7,,1,0,2022-12-24
1,7210.0,1,1,2023-02-10
27,309700.0,1,2,2022-12-14
16,52700.0,0,2,2023-02-25
1,272710.0,0,2,2023-01-09
7,,1,1,2023-01-03
4,14340.0,0,2,2023-02-23
11,431750.0,1,1,2023-02-03
18,644450.0,0,0,2022-11-04
20,118750.0,0,2,2022-11-23
31,223450.0,0,0,2023-02-21
17,,1,0,2023-01-21
6,,0,1,2022-12-06
16,232760.0,1,2,2022-11-14
29,,0,2,2022-11-05
24,,0,0,2022-12-05
14,112550.0,0,2,2022-12-12
28,137600.0,1,2,2023-01-22
6,31980.0,1,1,2023-02-02
3,10130.0,0,1,2023-01-27
21,144040.0,1,0,2022-12-25
26,226330.0,1,2,2023-02-09
1,3650.0,0,1,2022-12-29
5,44430.0,1,1,2022-12-13
24,103100.0,0,0,2023-01-10
3,21970.0,0,2,2022-12-12
5,27490.0,1,1,2023-01-03
21,,0,0,2023-02-01
18,,1,0,2023-01-10
10,434130.0,0,1,2022-11-02
8,52290.0,1,1,2023-01-12
3,23860.0,1,0,2022-11-16
24,93110.0,0,2,2022-12-27
0,0.0,1,1,2023-02-05
15,541200.0,0,2,2022-12-22
27,164270.0,0,2,2023-01-23
25,86740.0,1,2,2023-01-14
27,107870.0,1,2,2022-11-24
9,75530.0,1,1,2023-01-10
3,10200.0,0,2,2023-02-28
10,71510.0,0,1,2022-11-02
21,81380.0,0,2,2022-11-02
2,,0,0,2022-12-19
20,70390.0,1,2,2022-12-15
29,221800.0,0,0,2023-02-03
7,60220.0,0,1,2022-11-21
12,77910.0,0,1,2023-01-16
16,83630.0,0,2,2023-02-14
27,524170.0,0,2,2022-12-21
10,346030.0,0,1,2023-01-21
22,163480.0,1,2,2022-11-12
7,,1,1,2023-01-21
2,,1,0,2022-11-14
23,528390.0,1,2,2022-11-19
22,,1,0,2023-01-22
24,530850.0,0,0,2023-02-03
23,186010.0,1,2,2022-11-10
7,64430.0,0,1,2022-11-03
9,40610.0,1,1,2022-12-20
22,217400.0,0,2,2023-02-05
11,80620.0,1,1,2023-02-25
15,222800.0,1,0,2022-12-04
25,,0,2,2022-11-01
17,140680.0,1,2,2022-12-23
5,120450.0,1,1,2022-12-10
6,43860.0,0,0,2022-12-03
5,28630.0,1,0,2022-12-13
21,129700.0,1,2,2023-02-21
27,200810.0,0,2,2022-11-22
23,120240.0,1,2,2022-11-18
3,10820.0,1,2,2023-01-12
21,171420.0,1,2,2022-12-17
17,106440.0,1,2,2023-02-03
31,111310.0,1,2,2022-11-09
20,151920.0,1,0,2022-11-13
28,133450.0,0,0,2023-01-23
15,,1,0,2022-12-17
30,260950.0,1,2,2022-11-15
21,487370.0,1,0,2022-11-11
24,,0,2,2022-11-01
30,251460.0,1,0,2023-02-12
14,61560.0,1,0,2022-11-30
12,323130.0,0,1,2023-01-18
17,,0,2,2022-11-29
4,23240.0,1,1,2023-02-08
23,195490.0,1,2,2022-12-26
16,130470.0,1,2,2022-12-15
28,,0,0,2022-12-14
9,30010.0,1,1,2023-01-21
31,175460.0,0,2,2022-12-16
12,,0,1,2022-11-28
14,121360.0,0,2,2022-12-02
9,78450.0,1,1,2023-02-12
12,666100.0,0,1,2023-02-27
7,36310.0,0,0,2023-02-09
0,0.0,0,0,2022-12-28
12,64060.0,0,0,2023-02-04
16,637010.0,0,2,2023-01-05
31,248050.0,0,2,2022-12-23
3,16490.0,1,2,2023-02-09
13,515660.0,1,2,2022-11-18
30,252610.0,0,2,2023-01-25
26,294800.0,0,2,2023-02-17
30,713930.0,1,2,2022-11-19
15,126410.0,1,2,2022-11-24
1,,1,2,2022-11-28
29,177900.0,1,2,2022-12-07
26,115090.0,0,2,2022-11-24
18,100950.0,1,2,2023-02-23
16,335140.0,0,0,2023-01-08
4,37080.0,0,0,2022-12-06
31,253520.0,0,2,2022-11-25
18,93540.0,1,2,2022-11-17
16,,0,2,2023-02-15
5,32570.0,1,1,2022-11-28
14,140110.0,0,2,2023-01-09
16,111120.0,1,2,2023-01-09
26,238770.0,1,0,2022-11-18
29,145440.0,1,2,2022-12-17
19,281940.0,0,2,2022-12-16
1,7310.0,0,0,2022-11-04
17,108550.0,1,2,2022-11-03
19,301180.0,1,2,2022-12-31
27,202690.0,0,0,2022-12-08
5,44210.0,1,1,2022-11-23
4,17850.0,0,1,2022-11-29
30,188020.0,0,2,2022-12-18
17,155990.0,0,0,2023-01-28
26,139890.0,0,2,2023-01-09
28,232180.0,1,2,2022-11-15
25,220350.0,0,2,2022-11-10
4,14730.0,1,0,2022-11-10
17,61600.0,0,2,2023-02-09
22,,0,2,2023-02-02
10,43590.0,0,0,2023-01-28
3,10260.0,1,1,2022-11-14
31,,1,2,2023-02-16
2,15980.0,0,0,2022-12-19
27,192720.0,0,2,2023-01-22
29,270350.0,1,2,2022-11-17
28,183590.0,0,0,2023-01-13
15,125500.0,1,2,2022-11-21
0,0.0,0,0,2023-01-16
18,,0,2,2022-12-26
7,195510.0,1,1,2023-01-01
28,72240.0,0,2,2022-11-06
27,186990.0,1,2,2023-02-28
11,545310.0,0,1,2023-01-28
13,,0,2,2023-02-06
4,32210.0,0,2,2022-12-17
2,14710.0,1,2,2022-12-09
4,,1,1,2023-02-23
11,101110.0,0,0,2023-02-07
19,,1,2,2022-11-15
11,60730.0,0,1,2022-12-03
26,125590.0,0,2,2022-11-18
8,57160.0,1,0,2022-12-31
0,,1,2,2022-11-12
16,856850.0,0,2,2023-02-17
4,567390.0,1,0,2023-02-13
3,14410.0,0,1,2022-11-10
11,97570.0,0,0,2023-01-01
27,215880.0,0,2,2022-12-10
13,88100.0,1,2,2023-01-16
8,67290.0,0,1,2023-01-16
30,844630.0,1,2,2023-02-01
29,143890.0,1,2,2023-01-30
3,,0,0,2022-12-05
29,69990.0,1,0,2023-01-25
15,,1,2,2023-01-01
6,,0,1,2023-02-05
8,102390.0,1,0,2022-12-26
27,376920.0,1,2,2022-11-12
11,80830.0,1,1,2023-02-14
18,98990.0,1,2,2023-02-04
18,,0,2,2023-01-04
23,103940.0,0,0,2023-01-09
5,21960.0,1,1,2023-02-26
0,,1,1,2022-12-05
2,8830.0,1,0,2022-12-03
9,36380.0,0,0,2023-01-11
19,459550.0,1,0,2022-12-13
17,146130.0,1,0,2022-12-08
26,,1,2,2022-11-28
28,612150.0,0,2,2022-11-19
5,42770.0,1,1,2022-12-31
7,,1,1,2022-11-30
7,222970.0,0,1,2022-12-06
8,67410.0,1,0,2023-01-24
5,22800.0,0,0,2023-02-25
9,,0,0,2022-11-12
7,44130.0,0,0,2022-12-25
22,131650.0,1,2,2022-12-26
26,229880.0,1,2,2023-02-13
8,339740.0,0,0,2022-12-11
18,117720.0,1,2,2023-01-11
21,,0,2,2022-11-24
19,,1,2,2022-11-04
7,1049390.0,0,1,2022-11-06
2,16850.0,1,0,2023-01-19
31,,1,2,2022-12-03
20,132880.0,1,0,2022-12-26
22,169770.0,0,2,2023-01-15
28,183610.0,1,0,2022-11-24
1,214700.0,0,1,2023-01-31
10,66950.0,0,1,2023-02-10
20,94140.0,0,2,2022-12-10
27,131510.0,1,0,2022-12-01
9,426580.0,1,1,2022-12-31
9,65900.0,1,1,2022-12-05
0,0.0,0,0,2023-02-19
11,48540.0,0,1,2022-12-12
19,173030.0,1,2,2023-01-29
28,184560.0,0,0,2022-11-26
18,111950.0,0,2,2023-02-14
31,161720.0,1,0,2022-12-24
31,216860.0,0,2,2022-12-31
22,190030.0,0,2,2022-12-23
13,118560.0,0,2,2022-11-21
5,18310.0,0,1,2023-01-02
25,,1,2,2023-02-03
30,,0,2,2022-12-09
25,155730.0,1,0,2022-11-20
4,16460.0,1,0,2022-12-07
15,204570.0,0,2,2023-02-21
11,46300.0,1,1,2022-12-10
