ids,ages,orders,purchases,bookmarks,replies,ratings,period
62409,49,61,5855504.0,3,29,15,33
36920,27,49,2812157.0,6,36,0,20
63856,27,24,1091819.0,3,4,6,34
29365,50,74,2470759.0,12,32,76,16
15871,33,88,7641336.0,10,5,12,9
13700,26,17,1513342.0,10,19,73,8
37241,25,90,7002973.0,5,14,42,20
70896,24,67,6511710.0,7,6,13,38
38836,39,46,5946275.0,6,3,4,21
17255,29,18,300001.0,10,35,98,10
64924,18,18,1019494.0,9,24,71,35
43527,23,12,529430.0,7,12,41,39
21690,28,68,4287079.0,10,24,56,12
69496,38,12,1115111.0,2,3,3,37
25798,36,42,3308315.0,6,11,25,2
6961,39,70,5433319.0,3,38,79,4
60422,22,84,5492447.0,2,15,26,33
15868,31,5,397360.0,0,2,3,12
28642,21,65,3717730.0,4,17,29,16
7889,36,7,475578.0,8,16,79,5
48600,29,83,7445814.0,11,24,44,26
58428,35,41,3089995.0,2,3,8,31
28637,52,33,2677412.0,7,23,75,16
57439,49,40,427278.0,1,12,29,31
3887,39,48,1569697.0,11,4,13,3
46143,26,69,5200055.0,8,37,113,25
54207,50,75,6515380.0,1,1,2,29
59748,24,80,4731125.0,6,21,66,32
16126,28,13,428662.0,7,13,15,9
42598,41,97,4057109.0,8,9,24,23
20084,35,49,2339297.0,11,29,85,11
15096,26,35,429704.0,2,31,133,9
19813,35,91,3725579.0,4,26,31,11
27345,42,88,7864133.0,2,7,25,15
63703,33,90,6916122.0,10,14,15,32
44860,37,24,169451.0,11,29,71,24
59400,43,53,410744.0,11,29,106,32
41028,42,58,6852637.0,4,19,58,22
44282,28,72,4649843.0,7,6,0,24
4184,30,17,1095670.0,6,9,26,3
3936,27,52,299998.0,3,20,23,5
7323,25,76,562780.0,2,39,95,5
39866,22,51,3479873.0,10,23,83,22
30459,20,47,5835770.0,4,37,119,17
50208,37,63,5823755.0,8,26,46,27
6522,46,48,4153186.0,12,4,7,4
33989,22,31,1611777.0,1,17,0,19
24577,24,18,1155835.0,11,28,55,14
715,37,90,299998.0,5,36,114,1
5792,36,13,897488.0,2,4,7,4
36398,53,8,674826.0,11,22,85,20
56437,48,72,6272034.0,12,28,40,30
68110,19,76,119947.0,6,17,42,36
37486,32,75,300001.0,0,35,102,20
61269,31,47,6236311.0,5,33,58,14
36689,36,70,405004.0,4,31,82,20
17967,20,10,,5,29,113,10
70852,18,46,6890830.0,12,16,42,19
38998,27,74,3986823.0,10,7,7,21
29335,50,78,5067055.0,8,36,117,16
23747,30,38,323905.0,1,0,0,13
16690,52,5,244118.0,12,20,58,24
19084,25,86,2133210.0,6,7,7,17
61894,36,5,777551.0,6,27,99,33
75765,23,17,1241762.0,5,15,14,40
37094,25,55,400614.0,12,5,12,20
33712,24,22,1707258.0,2,9,21,19
36879,42,13,178147.0,3,38,135,20
16003,33,79,33733.0,0,28,39,9
12173,54,6,1025317.0,7,28,40,7
22254,22,70,1212664.0,9,14,39,12
67617,25,29,1304862.0,8,3,3,36
37766,32,8,362354.0,5,37,87,21
73291,30,94,558204.0,6,5,9,39
35612,37,48,2205021.0,1,21,42,20
29016,35,25,1184689.0,11,27,88,3
5778,18,16,1420444.0,4,2,4,4
58033,25,6,176144.0,6,9,35,31
31586,42,70,2790867.0,8,14,31,17
41815,43,64,4505689.0,10,10,10,23
6666,43,50,1583043.0,2,28,80,4
10784,33,53,4297134.0,7,30,34,6
48550,45,48,2653568.0,6,2,2,26
64964,37,40,1301825.0,9,1,3,35
56971,30,33,2614981.0,9,39,88,31
3057,28,23,1319788.0,5,5,13,2
72253,30,37,2152540.0,9,26,49,39
10768,29,19,2585838.0,10,18,52,6
29276,34,47,547693.0,10,31,95,16
11591,28,65,5255291.0,9,16,18,7
23455,42,94,15975498.0,1,12,24,13
50356,41,85,5562291.0,0,26,98,27
8774,18,87,9123917.0,4,11,17,5
58911,32,86,4149827.0,12,22,40,32
24579,31,84,5204185.0,1,29,35,14
17303,19,52,4278538.0,7,32,79,14
3410,40,63,5606778.0,5,35,0,2
47882,38,39,1952656.0,5,39,75,26
63678,37,77,3872088.0,6,16,170,34
25861,41,62,378636.0,10,34,109,14
64589,41,78,6851197.0,5,31,109,35
45987,27,95,604544.0,2,19,26,25
13433,49,19,258633.0,0,2,6,8
33970,21,79,6778537.0,1,21,57,19
18859,41,91,1647329.0,2,27,80,11
24091,25,7,717712.0,7,19,31,13
42543,43,19,801245.0,1,18,37,23
9223,51,20,363708.0,1,36,131,6
47615,23,90,5261358.0,9,36,92,26
25240,23,81,300000.0,3,8,25,14
3706,35,86,6157657.0,3,34,54,3
29741,42,14,299998.0,6,7,24,16
42093,44,17,1541875.0,5,5,5,23
50553,27,85,299998.0,5,21,32,27
65834,34,13,1175018.0,6,15,0,35
35631,42,57,124573.0,12,9,14,20
51295,40,15,966215.0,8,35,107,28
47306,31,94,3076201.0,4,6,0,26
6295,19,13,501869.0,3,39,0,4
20482,25,49,300000.0,8,37,100,11
70130,39,24,798978.0,1,13,42,24
67107,44,13,300001.0,8,21,76,36
58787,32,55,2428213.0,10,16,0,32
54211,45,51,937390.0,1,25,91,29
21787,36,16,1570351.0,2,15,21,12
17955,36,83,3799378.0,7,30,103,10
49587,32,28,4252561.0,10,20,45,27
9915,43,33,1896522.0,5,32,22,12
4799,53,1,67107.0,0,19,0,3
1299,19,72,6486476.0,10,29,49,1
75325,40,51,2208336.0,6,29,111,40
23436,49,49,4310657.0,3,2,40,13
55720,20,42,2122424.0,10,21,13,30
30330,29,81,299999.0,3,25,84,17
33848,42,17,300000.0,7,30,39,19
71258,33,29,1691821.0,9,23,91,38
22719,40,33,2287492.0,12,3,40,13
17633,34,18,425646.0,3,1,4,10
75037,32,16,1275222.0,4,29,60,40
60588,43,83,2870151.0,10,0,59,33
1786,35,55,3667971.0,5,22,76,2
41029,34,34,2213174.0,10,26,59,22
62303,27,11,1037119.0,12,15,39,33
23483,41,57,334521.0,9,26,86,13
18522,36,19,607164.0,10,12,38,10
45404,33,84,7096578.0,5,30,46,25
59630,18,34,488567.0,2,10,34,32
75775,20,77,904635.0,6,25,68,40
34887,22,47,4314827.0,1,30,109,19
19275,24,28,2536047.0,2,7,10,11
51627,29,66,299999.0,6,39,129,28
22209,40,46,4367707.0,6,14,14,12
37121,34,89,7961757.0,0,23,87,20
1809,40,69,6079043.0,5,10,31,2
72744,51,64,2310424.0,2,22,50,39
75189,19,90,11070294.0,10,37,138,40
28896,21,43,242237.0,1,27,84,16
70244,54,8,706533.0,3,38,8,38
47941,21,44,1746280.0,11,10,21,26
31394,20,23,599480.0,3,21,70,17
38,27,90,8665391.0,6,35,46,5
22123,31,34,3381356.0,2,4,7,12
29866,26,48,299998.0,0,14,20,16
31266,34,31,345917.0,6,6,6,17
32550,20,88,1238037.0,0,17,51,18
55222,40,45,1738306.0,10,24,32,30
35629,34,83,3924864.0,8,24,0,20
22653,31,25,304793.0,0,21,28,13
14385,34,97,5006801.0,7,22,58,8
44757,25,96,3830208.0,0,18,37,24
28623,31,45,4341578.0,5,35,106,16
10199,25,38,2810519.0,8,33,50,6
47747,32,15,1324520.0,5,1,1,26
69222,20,55,4224680.0,5,34,98,20
46282,37,86,10843245.0,2,27,67,25
50332,27,54,3992125.0,0,33,127,27
25519,30,54,1724738.0,6,30,99,14
65951,22,24,1570648.0,4,3,6,35
36379,22,22,1894958.0,10,37,119,20
46610,31,43,6180102.0,10,18,53,25
61740,39,23,1325209.0,0,6,18,33
26590,46,50,3350814.0,11,25,59,15
42573,36,4,256974.0,11,2,7,23
46234,22,30,299999.0,5,3,3,25
2644,41,59,3962751.0,6,32,70,2
63072,24,22,2558245.0,7,30,32,34
19414,27,20,1851928.0,2,35,56,16
17276,32,94,4936039.0,3,27,107,10
8685,50,22,3265877.0,10,31,0,5
45933,32,47,2815297.0,7,9,12,25
63340,25,75,2621133.0,7,38,54,34
74153,23,70,6089513.0,6,20,58,40
72254,19,94,9004320.0,7,3,11,39
13301,37,22,2309882.0,5,10,12,8
30870,21,13,941875.0,6,26,65,17
29750,39,47,383453.0,8,3,9,16
73604,29,23,1354079.0,6,1,1,36
65118,45,79,77128.0,0,17,44,35
30601,18,15,477478.0,5,33,51,31
4017,26,85,7099926.0,5,4,0,3
8245,47,80,4359735.0,7,13,12,5
2875,34,70,5725668.0,12,8,11,2
39636,18,83,3253544.0,3,20,32,22
20114,43,16,1191901.0,6,9,9,11
20656,30,52,3754615.0,9,13,47,12
28072,35,51,1645895.0,3,19,41,16
8306,30,93,6167309.0,9,21,78,5
23226,22,73,5089985.0,10,32,78,13
59002,27,4,299998.0,7,33,129,32
34985,20,58,5340751.0,1,32,108,19
68425,42,76,3890247.0,8,28,86,37
50842,32,20,1887533.0,10,32,110,28
6905,26,91,3956308.0,11,8,29,4
4745,19,25,1574300.0,3,14,28,3
9952,26,6,299999.0,2,3,0,6
71385,21,8,474493.0,4,1,2,38
34101,31,33,895309.0,12,25,0,19
51651,40,79,300000.0,6,36,43,28
69542,46,82,6541345.0,1,4,14,37
36748,24,32,2763311.0,1,39,0,20
53872,25,66,1083628.0,8,22,39,29
14410,18,59,5680846.0,0,29,48,8
75601,31,77,299999.0,9,36,94,40
38639,19,58,268620.0,12,19,43,21
32488,35,64,3862920.0,10,4,10,14
31765,30,73,4999059.0,0,0,0,5
16376,40,17,1715201.0,9,25,98,9
37303,37,60,3908077.0,12,33,37,20
18806,42,88,9623351.0,11,11,39,11
57841,48,81,300000.0,0,26,72,31
15890,34,34,219702.0,6,9,17,9
70027,34,52,2287290.0,5,12,33,37
16015,26,71,1934372.0,0,34,0,9
59815,30,15,834677.0,0,29,36,22
22207,38,28,123601.0,11,4,4,12
54839,42,11,782452.0,0,38,115,30
45514,23,26,3454359.0,7,10,21,25
12904,51,77,455457.0,9,38,150,8
75041,19,54,1775877.0,11,2,6,40
62253,42,26,962654.0,11,4,4,33
30184,32,80,5498588.0,7,13,15,17
16253,30,96,9270024.0,10,38,122,9
59686,21,95,12482478.0,0,23,28,32
70756,22,94,3978828.0,11,23,41,38
16580,26,29,473120.0,12,33,75,40
7150,27,2,115425.0,1,9,29,4
54707,42,99,5226181.0,8,27,81,19
70971,23,23,1050214.0,2,17,50,38
68247,22,7,338766.0,10,36,130,37
48146,47,13,1057574.0,8,37,39,26
13056,25,77,3571815.0,10,10,18,8
13030,18,61,4038820.0,9,17,29,8
54863,40,50,4236495.0,10,4,15,30
40754,36,98,300000.0,0,12,24,22
26235,43,86,6329610.0,4,12,25,15
54938,41,38,3685744.0,4,20,78,30
28662,18,76,9693686.0,8,14,48,16
65247,42,35,2520969.0,0,3,4,35
63229,44,78,2302205.0,12,21,46,34
32551,18,80,8444828.0,1,29,29,18
4857,33,41,2024661.0,10,39,71,25
37033,31,17,3077713.0,4,24,74,38
43702,25,64,838274.0,9,36,76,24
11190,27,74,6886948.0,12,0,0,7
75696,41,35,136656.0,6,16,36,40
56314,31,85,5734768.0,4,31,71,30
7173,20,22,512199.0,2,23,89,4
62197,19,75,5179103.0,3,17,57,23
68198,44,2,,7,12,12,36
42788,38,36,590833.0,9,30,83,10
29152,28,61,2956757.0,4,1,1,16
16933,42,95,5750849.0,0,22,83,10
37584,41,31,965783.0,7,5,0,20
13797,52,49,3341486.0,11,32,121,34
58500,52,33,2586987.0,6,29,40,31
58688,44,21,174587.0,11,33,101,32
677,18,69,329090.0,4,12,49,1
75732,20,27,1305089.0,6,19,59,40
48509,49,43,3331408.0,9,6,12,26
7691,28,22,299999.0,5,7,18,5
24813,21,78,300000.0,2,29,94,14
13325,50,89,2880624.0,6,8,28,8
54353,38,20,1571521.0,11,24,72,29
30277,44,48,2294476.0,5,10,33,40
13589,29,16,1596734.0,5,9,34,8
11800,31,32,2731581.0,9,0,0,7
73826,21,5,310289.0,0,25,71,39
43833,51,81,3840666.0,11,31,96,24
21658,27,34,224191.0,11,39,131,12
74758,40,39,3220898.0,6,10,23,40
63656,22,75,13019228.0,1,26,46,34
37960,35,22,334517.0,11,18,76,21
32833,27,77,6592884.0,8,23,26,18
5250,34,64,4937744.0,9,1,2,3
12621,48,98,8200242.0,8,32,61,7
22457,42,54,6136136.0,7,24,92,1
54698,40,64,5104518.0,11,12,45,29
52984,50,57,299999.0,9,1,2,29
71556,29,31,2146291.0,11,19,0,38
71562,25,13,881394.0,0,13,3,38
18780,26,7,497727.0,0,11,27,11
55323,25,9,408504.0,7,7,24,30
9906,38,51,299999.0,3,10,35,6
23212,23,22,1534116.0,4,20,39,13
9404,30,1,53176.0,10,19,19,6
7650,28,69,4137717.0,5,22,80,5
56530,30,9,987247.0,11,27,38,30
22063,45,68,2489279.0,0,35,54,12
24802,31,27,283266.0,3,29,71,14
1920,22,53,731963.0,0,35,55,2
29102,31,38,348388.0,4,39,149,16
56788,42,4,299999.0,0,33,42,31
53096,30,97,7941709.0,11,14,33,29
18234,51,50,4179207.0,9,9,33,10
61494,28,17,999227.0,12,11,41,33
8909,40,85,299999.0,12,10,27,5
34721,38,28,1660775.0,12,19,73,19
23878,51,64,6283260.0,1,0,0,13
35330,37,34,2238937.0,8,19,54,19
5062,30,86,3301892.0,1,32,0,3
56989,41,96,8863318.0,5,38,141,31
38611,43,20,299999.0,8,4,0,21
74161,21,50,299998.0,6,13,0,40
12813,43,93,5320770.0,3,27,54,8
25335,43,63,1503877.0,1,3,3,14
62169,39,8,735789.0,1,29,68,33
30582,33,26,3328959.0,8,15,0,17
45299,28,98,8733991.0,10,20,79,25
72200,18,85,2976591.0,8,31,87,39
36269,27,63,4478748.0,6,2,4,20
37176,39,51,5050334.0,3,3,7,20
54931,40,55,2888543.0,0,12,25,30
60819,32,20,1438927.0,10,35,135,33
24638,34,57,7628108.0,12,36,48,14
69117,26,76,299998.0,3,10,28,37
1607,21,3,161834.0,1,17,30,1
19095,26,48,3227988.0,11,2,2,11
56587,29,35,1496296.0,0,23,29,31
26418,50,37,3573173.0,3,20,53,15
11915,24,60,3269972.0,8,23,78,7
35170,25,43,386584.0,1,34,126,19
65456,32,78,250612.0,8,22,69,35
38387,42,17,1385929.0,5,3,5,21
56069,47,66,299999.0,11,1,2,30
9759,22,22,1945335.0,5,38,101,6
41781,24,65,3734949.0,3,2,6,23
18117,34,87,299999.0,0,17,44,10
34926,25,89,8355923.0,4,0,0,19
37118,52,15,946586.0,7,37,136,20
27415,32,20,2168358.0,5,19,57,15
40167,35,16,299999.0,2,3,8,22
63501,27,49,4375469.0,10,10,15,34
47827,39,93,8424532.0,3,8,23,26
51755,38,35,2249884.0,11,3,11,28
62928,22,7,575333.0,9,15,36,34
11453,28,43,136584.0,6,8,8,33
45949,28,75,122060.0,5,4,57,25
75731,39,34,178546.0,7,1,1,40
40605,41,37,717585.0,0,12,31,22
879,51,3,192959.0,12,38,85,1
29183,19,9,1289101.0,12,7,8,16
44528,41,5,190982.0,3,29,0,24
25570,46,27,299999.0,8,21,39,14
13388,30,97,3475509.0,4,12,37,8
70585,40,12,248072.0,1,23,72,38
54546,53,76,3942720.0,3,13,32,29
13911,20,50,6178702.0,5,2,40,8
30941,26,19,1143506.0,3,15,47,17
12793,23,47,2004072.0,5,27,42,8
49169,40,6,416252.0,5,26,57,27
67024,19,22,972138.0,8,36,0,36
63250,45,15,320953.0,8,26,80,13
51985,50,44,318183.0,10,23,75,28
12142,35,48,3677640.0,2,16,18,7
26358,29,87,7897607.0,10,19,64,12
62977,25,56,2995178.0,2,15,58,34
60168,44,50,3089206.0,12,7,8,32
20575,26,41,2167384.0,11,23,35,12
73045,30,13,1241967.0,6,6,17,39
71285,34,37,2687503.0,3,22,27,38
73424,21,1,50170.0,10,12,22,39
60051,43,64,5012645.0,2,21,36,32
74754,28,45,2838838.0,10,37,120,40
66640,37,60,4326930.0,11,8,19,36
36754,30,30,718341.0,8,8,28,20
24422,22,5,382590.0,8,23,47,14
14061,40,1,102115.0,7,15,26,8
19336,25,60,2555701.0,6,30,38,11
14883,33,18,1325515.0,6,13,48,9
25748,42,33,1654259.0,7,9,29,14
57228,40,54,197394.0,11,13,50,31
50566,38,18,962382.0,12,21,22,27
28858,19,60,3076820.0,11,10,31,16
14606,31,75,2312721.0,10,38,79,9
16742,38,82,1304311.0,7,23,45,10
68088,39,94,10266538.0,0,19,25,36
42289,41,38,3551783.0,6,1,2,23
3070,19,53,1439345.0,7,20,34,2
46749,43,83,12971336.0,3,32,102,25
75119,37,22,1642052.0,10,3,10,40
63483,27,14,300002.0,10,10,37,34
1255,36,27,1488398.0,8,34,135,1
7753,21,13,670828.0,6,38,56,5
18205,43,51,943312.0,4,2,32,10
63454,43,45,3200053.0,8,12,19,34
50589,23,44,3843113.0,6,25,32,31
41224,34,90,3616119.0,1,3,3,22
45943,23,43,1155661.0,2,9,34,40
45892,26,42,299998.0,11,15,38,25
29884,38,69,1920726.0,12,2,4,16
10190,27,81,6983162.0,4,27,81,6
38846,19,27,2244991.0,0,29,91,21
28919,36,80,5363669.0,10,0,0,16
54533,24,31,5356862.0,8,3,11,29
26662,40,75,4746915.0,7,12,41,15
2336,30,1,,9,26,96,2
69656,37,64,6374409.0,7,3,5,37
32381,24,95,2597466.0,12,27,32,37
48621,48,67,5566641.0,0,18,30,26
43721,36,13,299999.0,5,35,43,24
60163,25,3,146430.0,1,16,54,32
15825,30,48,4741332.0,6,39,136,9
66488,28,98,299998.0,2,1,127,36
66187,23,3,78558.0,0,26,26,36
1640,37,72,1269169.0,10,17,27,1
62289,26,51,106611.0,2,26,92,33
30369,31,36,300000.0,11,8,31,27
40387,46,29,1414103.0,8,11,0,22
27205,31,76,1147709.0,7,24,94,15
54312,41,24,1386944.0,5,12,12,29
8016,23,6,163633.0,7,17,49,5
40767,46,9,194748.0,4,32,72,22
31656,26,28,2003151.0,1,24,69,17
12011,44,36,5719585.0,5,16,38,7
8133,34,23,1475871.0,3,23,27,5
22491,44,28,854160.0,3,34,57,13
34756,38,50,457580.0,4,25,34,19
36883,34,13,77155.0,2,31,44,20
35455,41,54,369536.0,2,2,3,19
38918,48,96,3115043.0,8,31,85,21
2529,35,54,2166016.0,2,15,19,8
74292,42,41,4000229.0,5,8,24,40
157,39,9,364686.0,12,32,79,1
59355,34,21,1009019.0,8,28,57,32
38146,44,20,1960805.0,4,3,126,21
40769,21,95,7626030.0,12,22,77,22
44408,47,27,912207.0,0,33,81,24
66592,25,31,907591.0,12,2,2,36
73164,18,15,1188784.0,6,11,36,39
17355,34,22,396780.0,6,1,1,10
5993,36,55,9837618.0,7,12,18,38
52637,38,49,2951114.0,11,30,0,28
24159,30,45,1790158.0,6,14,34,13
74506,38,85,7037924.0,10,8,31,40
38931,34,71,7047735.0,9,12,41,21
44905,32,24,299999.0,2,22,43,24
27707,36,6,336361.0,8,26,39,15
68392,39,70,2290171.0,2,8,15,37
16400,30,98,331324.0,7,31,111,9
37027,36,43,519702.0,6,18,20,20
34474,33,20,138885.0,6,15,26,19
41254,43,56,139050.0,1,35,37,22
66078,26,91,8764664.0,0,35,0,35
43437,22,86,396211.0,5,0,0,24
24588,42,74,3121611.0,12,16,16,14
53384,33,98,7168010.0,8,33,128,29
57809,34,58,1630482.0,8,4,15,31
32857,25,24,362167.0,0,4,13,18
62517,47,91,1868247.0,2,12,62,34
8532,38,83,2595824.0,6,21,37,5
2209,34,63,6230798.0,6,3,4,2
72471,22,8,422376.0,7,37,84,39
55311,30,63,4482667.0,4,5,24,30
70653,36,18,1441030.0,1,21,74,38
29563,30,44,4137226.0,12,37,130,16
45761,23,48,2547179.0,9,27,74,25
12249,21,54,2445294.0,10,28,0,7
22677,23,69,13224977.0,10,9,12,13
2227,26,21,1363721.0,2,2,6,2
32416,53,54,3363405.0,5,6,18,36
23809,26,28,1958379.0,6,12,20,13
67905,46,21,2024516.0,2,27,63,36
24688,20,56,661951.0,4,32,92,14
19154,36,46,1322166.0,2,5,5,11
60530,50,2,109107.0,1,28,73,33
19952,41,79,299999.0,9,3,9,32
5182,26,23,432206.0,9,21,36,34
49182,46,9,1164916.0,6,4,7,27
23794,25,84,5171315.0,5,34,94,13
61813,36,22,1181903.0,7,4,7,1
35922,32,71,2330950.0,1,4,13,20
66090,26,58,5108085.0,2,30,76,16
57068,24,19,73368.0,2,4,8,31
62242,31,24,1530472.0,2,29,88,33
49913,28,14,1212925.0,3,34,119,27
55012,33,54,,8,25,99,30
18944,26,12,775613.0,7,33,49,11
6804,37,88,2737984.0,4,4,11,4
49280,33,1,35553.0,7,4,9,27
20584,37,89,4334431.0,12,35,138,12
11524,37,38,2705179.0,2,27,90,7
35400,30,69,300000.0,0,1,3,19
8868,31,49,4710039.0,6,7,19,5
32160,28,58,5208358.0,7,1,1,18
51502,43,11,525615.0,12,6,21,28
5706,19,45,300000.0,12,35,36,4
9244,36,11,300001.0,0,19,51,6
27647,26,1,70291.0,7,5,17,15
38166,18,93,14145750.0,8,2,5,21
43210,31,60,5205971.0,8,13,17,28
73529,35,52,173738.0,7,32,59,39
32039,28,72,5369566.0,4,16,33,18
47033,30,8,699762.0,2,18,50,26
1119,18,6,234169.0,0,8,24,1
13012,39,2,149865.0,2,36,106,2
4036,33,77,164199.0,9,13,14,3
10150,46,21,299999.0,7,13,26,6
54603,18,46,300000.0,8,19,73,29
898,32,55,300000.0,6,8,13,1
50920,19,7,276366.0,0,3,9,28
4344,34,25,1180617.0,7,26,39,3
69073,36,67,373447.0,10,14,50,37
46382,26,5,412833.0,2,3,11,25
5733,24,29,1794094.0,12,14,14,4
6421,28,77,9151065.0,0,39,41,4
11158,25,84,3256418.0,4,30,98,7
58515,19,27,300000.0,2,10,23,31
70104,19,21,410766.0,0,8,27,38
47826,34,86,295031.0,0,0,0,26
75700,29,33,788530.0,11,35,87,40
32536,36,59,4680794.0,5,9,12,10
72249,28,40,3142949.0,12,27,95,39
46101,18,95,12637681.0,8,16,55,25
30125,25,63,5022640.0,8,33,122,17
35361,40,93,8054160.0,3,27,88,19
8923,26,13,1002501.0,8,25,76,6
75025,44,61,1208052.0,12,5,7,40
12413,50,45,2460028.0,2,37,76,7
60517,31,98,300002.0,9,20,49,32
4451,48,85,6741243.0,3,2,6,3
17364,38,17,1256752.0,7,2,4,10
12050,28,41,2927311.0,0,16,55,7
548,46,29,1926311.0,9,38,100,1
64267,41,18,477845.0,0,2,7,34
38379,22,90,3356330.0,9,27,79,21
62992,37,74,1135627.0,10,7,14,34
5222,36,41,3325123.0,5,31,103,3
55734,48,84,7339560.0,8,25,49,30
59154,20,18,1567737.0,2,30,62,32
22662,23,96,10679575.0,4,34,114,13
33732,40,99,5724107.0,12,14,55,19
13392,21,21,951354.0,4,35,111,8
20146,37,43,552019.0,8,33,44,11
13519,21,84,14611795.0,8,36,140,8
50386,21,29,940681.0,0,26,27,27
23374,46,21,1833666.0,8,17,32,13
54175,25,18,814638.0,7,15,49,29
9894,46,40,621687.0,7,14,25,6
20096,25,69,10089485.0,10,35,53,11
73450,19,33,2241261.0,9,12,46,39
55460,31,91,299998.0,2,14,34,30
42742,19,83,299999.0,7,33,33,23
63737,20,67,3429719.0,1,19,49,34
45044,27,17,1243330.0,5,37,94,24
28471,33,38,2891151.0,4,22,86,16
32301,22,45,566210.0,4,17,46,18
37605,34,82,181043.0,8,19,23,20
22696,22,67,4493096.0,7,3,9,13
40393,32,8,529178.0,4,34,115,22
64234,27,6,158940.0,2,5,0,8
74675,49,23,3456689.0,4,25,88,40
42492,29,22,257354.0,6,13,35,23
40265,24,5,246035.0,11,23,23,22
2874,40,73,3426798.0,3,1,1,2
51556,32,64,4313018.0,0,3,3,28
36706,36,96,4780504.0,2,36,60,20
69338,37,6,102347.0,10,12,39,37
38890,40,57,5811269.0,1,24,50,21
4546,33,77,300000.0,2,35,38,3
11741,23,47,3653025.0,12,37,98,7
25697,31,89,1339098.0,12,13,45,14
60511,40,7,459759.0,9,3,11,33
67328,25,99,334346.0,12,31,76,36
3700,21,85,4664797.0,0,32,88,3
56101,45,50,532154.0,11,37,38,30
41241,30,89,6738585.0,9,21,63,22
61777,42,26,928691.0,6,19,40,33
74081,31,9,773743.0,3,3,7,40
60787,18,91,162490.0,1,25,43,33
72113,26,47,3136734.0,0,25,99,39
74826,19,94,7121751.0,1,33,0,40
75370,21,68,3387890.0,7,39,38,40
37545,19,93,2922977.0,0,32,41,20
25141,21,33,2116658.0,4,21,41,14
15093,18,80,7980907.0,5,38,142,9
28171,33,25,764451.0,8,13,27,16
6845,28,44,1979947.0,12,36,64,4
74987,24,50,4365877.0,10,25,31,40
17864,42,37,4119391.0,7,10,12,10
61071,19,20,658184.0,1,12,42,33
54071,22,46,4128215.0,0,9,11,29
44782,25,73,1134802.0,1,22,34,24
52763,25,93,6732632.0,12,5,5,29
15996,27,77,3804517.0,2,14,51,9
72781,27,30,2973226.0,7,9,11,39
12648,23,62,4443749.0,6,5,15,7
345,37,65,5971048.0,10,30,76,1
39184,28,61,7811806.0,10,31,97,21
59583,24,26,2534931.0,3,34,87,32
38448,53,48,390941.0,7,1,2,21
51134,26,21,809414.0,9,7,11,28
50911,19,52,4827071.0,12,1,1,28
37894,43,27,2472085.0,8,29,63,21
47274,43,37,1160884.0,6,5,6,26
56876,27,47,3765634.0,10,2,4,31
44220,34,60,3866155.0,5,19,63,24
47592,42,86,6729986.0,9,37,134,26
46303,50,40,2186140.0,7,26,85,25
30327,29,71,3617675.0,10,6,8,17
12808,28,27,1551771.0,9,5,13,8
57763,54,66,5642390.0,3,18,37,31
