enrollment_code,gender,bonus,penalty,school_code
SKIBVK,M,0.5,0.0,MWHS
DGCQNN,M,2.4,0.0,SSHS
LRECQP,F,2.4,0.5,NKHS
FTSKOO,M,1.8,0.0,SSHS
ICVIKW,M,2.5,1.0,SWHS
AMCDIJ,M,3.6,0.0,PYHS
TNADNO,F,0.0,1.0,SWHS
KAZMTN,M,1.9,1.0,HJHS
SBVRFO,M,0.0,0.5,NKHS
IVIOGW,F,1.7,0.5,NKHS
KFEWGC,F,0.1,0.0,HJHS
KTCSUP,F,4.5,0.0,PYHS
ZIQDLF,M,0.1,0.5,HJHS
SLKKXQ,M,1.6,0.0,PYHS
SZYRLA,F,2.2,0.0,NKHS
KNTWRX,M,5.7,0.0,NKHS
HCLHHC,M,0.4,0.0,MWHS
SRTYHF,F,0.0,1.0,SSHS
JKWZPE,M,3.0,0.5,NKHS
YRCPRU,M,3.3,0.5,SWHS
KVWPKN,F,3.4,0.0,PYHS
YVLYXH,F,1.6,0.0,SSHS
LHKLMY,M,1.9,0.5,PYHS
ERPECF,F,2.1,0.0,HJHS
OFHKGO,M,0.0,1.5,SSHS
UNHRTZ,F,1.8,0.0,HJHS
ZBOEOL,F,2.5,0.0,PYHS
LKDFXT,F,2.3,0.0,MWHS
KFQSQW,M,0.5,1.0,HJHS
FSINBD,M,1.1,2.0,PYHS
VDDXYU,F,0.6,0.0,PYHS
YHHQQB,M,0.0,0.0,HJHS
GJIBWF,M,0.0,0.0,PYHS
OVJBVK,F,1.7,0.0,SSHS
GVYLRW,M,-0.0,0.0,SSHS
WGIVMF,M,2.2,0.0,PYHS
PSLPZW,M,4.5,0.0,PYHS
KUHJFY,F,2.0,0.0,NKHS
SSXRAM,M,4.0,0.0,PYHS
FCTQRM,M,0.0,0.5,NKHS
VSURSK,F,0.0,0.0,PYHS
GIGLAW,F,4.4,0.0,HJHS
RKTBVO,F,2.1,0.0,SSHS
SSEGOK,M,0.0,0.5,SSHS
PAKKYZ,F,1.9,0.0,SSHS
NGQMZR,F,5.5,1.5,SWHS
KHFOGN,M,5.2,0.0,SWHS
RIVSKZ,F,0.0,0.0,PYHS
DXTZCL,F,2.5,1.0,HJHS
TNXJWG,F,3.5,0.0,SSHS
GJYJSB,F,0.0,0.0,HJHS
APOJEF,F,1.2,1.5,MWHS
XMFCOZ,M,0.0,1.0,SSHS
HDWMWX,M,0.9,0.0,HJHS
GFHEUM,M,0.6,0.0,PYHS
VOHLVM,M,4.2,1.5,PYHS
VQIKHQ,F,0.0,0.0,HJHS
HPQYKG,F,2.2,0.0,HJHS
GGBMLH,F,0.0,0.0,PYHS
IKBBTX,M,2.0,0.5,SSHS
ABWFUH,F,1.7,0.0,PYHS
JWBCTZ,F,0.2,0.0,SWHS
IRHIJL,F,5.1,0.0,NKHS
CZZIDJ,F,0.5,0.0,MWHS
VDXNFG,F,4.4,0.0,SWHS
ENOFVL,F,0.0,0.0,NKHS
XKKHEK,F,0.0,1.0,SWHS
GUKPZR,F,0.0,0.0,HJHS
HGRJJC,M,2.6,0.0,HJHS
GHBKDP,M,3.7,0.0,NKHS
AEKCBU,F,4.8,0.0,PYHS
WCIBZT,F,2.0,1.0,PYHS
ZXPIDE,F,3.9,0.0,PYHS
WCIYLK,F,2.4,0.0,MWHS
DDGMPA,M,1.6,0.0,SWHS
KEPIYV,M,0.0,0.5,PYHS
SGFNBR,M,2.0,1.0,MWHS
UJUJGN,F,1.6,0.0,SWHS
RHBKSS,F,1.1,0.0,SWHS
MAIJUL,M,1.4,0.0,MWHS
TVYRGS,F,2.8,0.0,MWHS
MSKVHW,F,1.5,0.0,MWHS
JKZPCM,F,3.2,0.0,SWHS
TQQZYR,M,3.4,0.0,NKHS
JXOOGF,F,3.3,0.0,MWHS
JMUWFM,M,0.8,0.5,HJHS
TDLAIN,F,5.0,0.0,PYHS
LHWLFX,F,2.8,0.0,SWHS
QQIGUU,M,1.7,0.0,SWHS
SDPCDY,M,0.0,0.0,PYHS
WDFHNG,F,4.3,0.0,MWHS
JLBHOO,M,0.0,0.0,NKHS
HJZSNG,F,0.0,0.5,SSHS
DGWUDS,F,1.8,1.5,NKHS
CSBYWB,F,2.4,0.0,SSHS
LRGJWV,F,2.0,0.0,PYHS
RGECIC,F,0.5,0.0,PYHS
KJQZZD,F,1.4,0.0,NKHS
WSXBWZ,F,0.0,0.0,HJHS
ZCAPIF,F,4.5,1.0,SSHS
CNMZKP,M,2.3,0.0,SSHS
IYDDBM,F,0.0,0.0,NKHS
EZZHAU,M,3.8,1.0,SSHS
OAGPLE,M,0.4,0.5,MWHS
VSQZEC,F,3.3,0.0,MWHS
DWOVYN,M,3.6,0.0,HJHS
SGTMLG,F,0.1,0.0,SWHS
WCESNW,M,0.8,1.0,HJHS
WAQWJZ,M,3.4,0.5,HJHS
FWCKXZ,M,0.6,0.0,PYHS
OEIHYF,M,1.6,0.0,MWHS
ZBGIZP,F,2.4,0.0,SSHS
VJRQRK,M,0.9,1.0,SSHS
WXMDUD,F,4.4,0.0,NKHS
NVAOFD,M,1.5,0.0,SSHS
ASVVUE,F,2.3,0.0,NKHS
RHQVZT,M,6.0,0.5,SWHS
JZDQVI,F,1.0,0.5,SSHS
ABGIJS,F,0.3,0.5,MWHS
HTXEDH,M,4.9,0.0,MWHS
LOZKZX,F,-0.0,0.0,SSHS
JYZKBJ,F,1.9,0.0,NKHS
GZUIRF,M,3.2,0.0,SWHS
SNWYMI,F,2.6,0.0,NKHS
NRPABL,M,1.8,0.5,SSHS
YOATZX,F,3.1,0.0,SWHS
BVWVZW,M,5.1,0.5,SWHS
MOLKIZ,F,1.4,0.0,SWHS
HSJZSV,F,2.7,0.0,NKHS
HGOGFZ,M,3.6,1.0,NKHS
VGUBMW,F,1.1,0.0,NKHS
LDHRFS,F,2.3,0.0,SSHS
GXTJAN,F,1.1,0.0,PYHS
MWDQFZ,F,2.5,1.5,MWHS
ZZJEOU,F,4.1,0.0,MWHS
HQVBCI,M,1.9,2.0,HJHS
FLJDNT,F,2.2,0.0,SSHS
MZBTZI,M,2.4,0.5,HJHS
FQRWND,M,5.1,0.5,SWHS
LBOTOP,F,0.5,0.0,NKHS
MGYJTA,F,2.3,0.0,HJHS
HMAWBV,M,-0.0,0.5,HJHS
ZHGAVK,M,2.6,0.0,HJHS
JJBMSW,M,0.1,0.0,HJHS
XQPOCY,F,0.0,1.0,HJHS
CXDADN,F,-0.0,0.0,MWHS
WIASWM,F,0.5,1.5,NKHS
NWJDIT,F,3.9,0.0,PYHS
XHKQOG,M,1.2,0.0,SSHS
FQQEHK,M,4.0,0.0,HJHS
JZHXPN,M,2.5,0.0,SWHS
TVGRMJ,M,4.6,0.0,NKHS
EKTQSH,F,2.9,0.0,NKHS
PGCXIY,M,5.1,0.0,PYHS
MAODOH,M,2.6,0.0,NKHS
QHJTLF,M,2.0,0.0,NKHS
YOORHB,M,0.0,0.0,HJHS
QQVVWB,M,0.7,1.0,SWHS
XZZWEZ,F,1.6,0.0,HJHS
BLBGOR,F,4.0,0.0,PYHS
BUJFGY,F,2.9,1.0,MWHS
YNGSRD,M,0.0,1.0,PYHS
BBFBAL,F,4.7,0.0,NKHS
LZVMZO,F,0.0,0.0,PYHS
CQKHTI,F,4.0,0.0,MWHS
PKMONU,M,1.1,0.0,PYHS
QYDLEQ,F,1.1,0.0,HJHS
GMKCGN,M,4.1,0.0,NKHS
VRNWLY,M,4.5,0.0,SSHS
NEQFQD,M,2.3,0.0,SSHS
IDRUXT,M,4.7,0.0,MWHS
GFXGQP,F,2.1,0.5,SWHS
TJGHPU,M,3.2,0.0,SSHS
SAMCYF,F,1.6,0.0,NKHS
OKESLA,F,0.4,0.0,MWHS
WYAVCP,M,5.9,0.0,MWHS
TJHXLD,M,0.0,0.0,SSHS
GAUZIL,M,0.0,0.0,MWHS
KUOJWF,M,2.3,0.5,SWHS
ZFLQPN,F,0.6,0.5,SSHS
NAAAWF,M,0.5,0.0,NKHS
BWGPLB,M,1.6,0.0,SSHS
WWCUUN,F,0.0,0.0,SSHS
FZGWJD,M,0.8,0.0,HJHS
VOXYZI,M,0.0,0.0,NKHS
BWNPRD,M,3.1,0.5,SSHS
ZFCKQI,F,3.1,0.5,HJHS
GOUWMF,M,1.2,0.0,HJHS
FPUDLR,M,4.0,0.0,SSHS
MPYJQA,M,4.3,0.0,PYHS
AIAQFN,M,1.2,1.0,SSHS
OOHGVY,F,4.3,0.0,SSHS
ULSMGB,M,0.3,0.0,PYHS
HQLPLA,M,0.9,0.0,PYHS
OSXKQX,M,1.2,0.0,PYHS
IARUZY,F,0.0,0.0,PYHS
RGKUFO,M,3.7,0.0,NKHS
KFGGIH,M,1.0,0.0,HJHS
QJEFZN,M,5.0,0.0,HJHS
BRBPOS,M,0.0,0.0,NKHS
OTSRIZ,F,3.5,0.5,PYHS
HAPVBG,F,2.1,0.0,MWHS
KSMUUF,M,1.1,0.5,SWHS
JMAAOP,F,0.5,0.0,NKHS
SEPZKM,M,2.8,0.0,PYHS
MNJJTF,M,4.9,0.0,NKHS
JCIPPO,M,0.0,0.5,MWHS
IOJKZC,M,0.5,0.0,MWHS
OTKMON,F,4.0,0.0,SWHS
IXXZQI,F,2.0,0.0,HJHS
AGANRP,F,6.2,1.0,MWHS
OCCOZV,M,1.3,0.0,SSHS
RECHJJ,M,1.4,0.0,SSHS
GUJDNC,M,0.6,1.5,HJHS
UKUWPX,M,1.1,0.0,PYHS
OHEWYY,M,3.3,0.5,NKHS
ESLCIZ,M,1.5,0.5,HJHS
RWFMYG,F,0.0,0.0,MWHS
AUIGGL,F,1.4,0.0,PYHS
FAKSUG,F,0.0,0.0,SWHS
AAARMI,M,0.5,0.0,MWHS
DHVKKN,F,0.0,0.0,MWHS
UICWKN,F,3.5,0.0,SWHS
XEZOCD,M,0.3,0.0,NKHS
XMPFZF,F,-0.0,1.0,MWHS
VKXPAM,F,0.0,0.0,MWHS
SXQUMW,M,2.3,0.0,PYHS
OBUUTC,F,2.4,0.0,SSHS
LZXHUG,F,2.7,1.5,MWHS
SRQVMQ,M,2.8,0.5,MWHS
TZYNUE,F,3.3,0.5,MWHS
FAMDDN,M,4.2,0.0,SSHS
BERGUJ,F,0.0,1.0,HJHS
UMCUXB,M,5.3,1.0,HJHS
EQJREH,F,0.0,0.0,NKHS
JVMXZT,F,5.0,0.0,PYHS
VVBIAV,F,1.3,0.0,SSHS
TJCCGT,F,1.8,1.5,MWHS
SQVVKE,F,2.4,0.0,MWHS
OLOPNQ,M,2.3,0.0,HJHS
SMXDBR,F,0.8,1.0,HJHS
CBEWCS,M,4.8,1.5,SWHS
CYPKKP,M,3.6,0.0,MWHS
DBKERD,M,2.2,0.0,MWHS
JKNBZC,F,2.6,0.0,MWHS
KJZPSQ,F,1.2,0.0,NKHS
VUVPYG,M,0.9,0.0,HJHS
JOGEDL,F,5.8,0.5,NKHS
YISWNF,M,3.6,0.0,PYHS
HJZMRA,M,2.0,0.0,SWHS
DGGJKM,F,5.4,0.0,SWHS
SZHCRL,M,1.5,0.0,NKHS
PGXYAX,M,0.7,0.0,SWHS
HBCWQY,M,2.8,0.5,NKHS
OSIFVX,M,1.2,0.0,MWHS
DMYQUH,M,0.7,0.5,SSHS
YTLQTS,M,2.6,0.0,SWHS
LVDDIM,M,3.2,0.0,MWHS
EKUQZO,F,0.9,0.0,PYHS
ZDQSQB,F,3.2,0.0,NKHS
QNMVWE,F,4.2,0.0,SSHS
BQLUMU,M,3.2,0.0,SSHS
FKYISY,F,0.0,0.0,NKHS
AXZFMZ,F,4.2,0.0,HJHS
BXGMAQ,F,0.4,0.0,MWHS
OLSNPP,M,0.9,1.0,SWHS
HOIRFW,M,1.6,0.0,HJHS
MZFELG,F,0.1,0.0,SSHS
GHSBRB,M,1.7,0.0,PYHS
PRYPHH,M,5.2,0.0,HJHS
UNLJXV,F,2.1,0.0,HJHS
JKLQFD,F,0.0,0.0,MWHS
NEQDPH,M,0.0,0.0,SWHS
CVGVZU,M,5.1,0.0,PYHS
YAWQQI,M,4.5,1.5,MWHS
WGRPPL,M,2.4,0.0,SWHS
WEICCZ,M,3.4,0.5,PYHS
QKDSVA,M,2.5,0.0,HJHS
HNHIGZ,M,0.0,0.0,SWHS
USHHPV,F,0.4,0.0,SWHS
YVBKIQ,F,2.7,0.5,HJHS
GIUPWF,M,0.9,0.0,SWHS
TUDQPI,F,0.0,0.0,NKHS
SUAEHN,F,2.6,0.0,PYHS
ZKERCC,M,3.8,1.0,SWHS
ZFLPGS,F,2.8,0.5,MWHS
KUKTND,F,5.4,0.5,SWHS
PDMYUE,M,4.1,0.5,SWHS
JJRVJN,M,6.0,0.0,SSHS
TYSFYM,M,2.8,0.0,PYHS
OGGFPP,M,0.0,0.0,MWHS
ZLEKHD,M,0.7,0.0,MWHS
HJGSAJ,F,1.8,0.0,HJHS
VNTIIB,F,0.0,0.0,NKHS
VDCROJ,M,4.6,0.0,SWHS
SYWGKC,F,0.5,0.0,SSHS
GMPEYF,M,0.0,0.0,PYHS
YHGYTG,M,1.4,0.0,NKHS
FTSROX,M,0.0,0.5,SSHS
GMSLOD,M,3.2,0.0,SSHS
XCGEVW,M,3.6,0.0,HJHS
NIKMRD,F,0.0,2.5,SSHS
MLIXSM,F,2.4,0.0,HJHS
MSIIIM,F,2.1,1.0,SWHS
LXTFUP,M,0.5,1.5,SSHS
WUQVOU,M,2.1,0.0,SWHS
ZYHEFU,M,2.3,0.0,PYHS
WOBBJY,M,1.3,0.0,NKHS
UHRWOD,F,4.1,0.5,SSHS
YSCDYZ,F,0.1,0.5,PYHS
VBBGGM,F,5.2,0.5,MWHS
ZWGTIZ,F,0.0,0.0,HJHS
PTYSSY,M,3.0,0.0,NKHS
WJBJRO,F,1.9,0.0,SSHS
APOAEI,M,2.9,0.0,MWHS
BMUZOX,F,0.2,0.5,HJHS
VGJBGO,F,3.7,0.0,SWHS
ELASXG,F,3.3,0.0,MWHS
ZERDLO,F,2.6,0.0,NKHS
GJVNIF,M,0.0,0.0,SWHS
NBLRSE,F,1.0,0.0,NKHS
TSPVKY,M,5.0,0.0,SSHS
EZPBSA,M,2.4,1.0,NKHS
OHZHCL,M,0.0,0.0,SWHS
UGHNZM,F,1.3,0.0,SWHS
ELPJHJ,M,2.7,0.0,MWHS
ZAKSCM,F,3.6,0.0,SSHS
RXFGVR,M,3.7,0.0,SSHS
FGWTSW,F,1.1,0.0,SSHS
DEAOEM,F,3.9,0.0,PYHS
EYZRHG,F,4.3,0.5,HJHS
ULLZIB,M,0.5,0.0,PYHS
QEHTHN,M,1.1,0.0,PYHS
BBFRCV,F,2.5,0.0,PYHS
DCFCXV,F,1.3,0.0,MWHS
IKUGCO,M,0.0,0.0,PYHS
LQIVKN,F,3.1,0.0,HJHS
TDPYDX,F,1.8,0.5,SSHS
DHZFBX,F,4.1,1.0,MWHS
NGKRCU,M,0.9,0.0,HJHS
TIKCCK,F,5.7,0.0,SWHS
FEEPMF,M,3.2,0.0,SSHS
OBZHGS,M,1.7,0.0,SSHS
XMBBBD,F,1.6,0.5,MWHS
IGQMJC,M,0.4,1.0,SSHS
UYKUWZ,F,1.8,0.0,MWHS
YPUKEI,F,2.2,0.0,MWHS
SRVNQI,F,1.1,0.5,NKHS
GUKZIU,M,0.0,0.0,PYHS
IDPMTH,F,0.7,0.0,SSHS
YKGHOF,M,3.6,0.0,MWHS
OGFCRD,M,0.1,0.0,MWHS
XDROQA,F,0.0,0.0,HJHS
VEFIST,F,3.2,0.0,SWHS
OGWAWK,F,3.6,0.5,MWHS
XRBLVU,F,2.7,0.0,NKHS
KRATSM,M,1.3,0.0,MWHS
JLUQRQ,F,1.9,0.0,SWHS
CALWEI,F,0.1,0.0,PYHS
FYLODT,M,0.3,0.5,NKHS
COPQNS,M,0.0,0.0,NKHS
NJJHZS,F,5.3,0.0,NKHS
LIYJYL,F,2.1,0.0,PYHS
DQAIIS,F,3.7,1.5,SWHS
KVASZM,F,0.0,0.0,PYHS
EKQOIK,M,2.7,0.5,PYHS
VHBAIB,M,3.7,0.0,HJHS
NVDGOG,M,1.3,1.0,MWHS
KPZOJT,F,0.0,0.0,NKHS
EDZDXO,M,5.8,0.0,MWHS
SJBPTU,F,3.5,0.5,NKHS
OWXRZY,F,3.4,1.0,NKHS
HCCILZ,M,3.7,0.5,NKHS
WFFNYK,M,1.3,0.5,SWHS
WWVAPG,M,0.0,0.0,SWHS
BNFPSO,M,1.6,0.0,SWHS
FJKEAY,F,2.9,0.0,NKHS
WFNZNN,F,0.8,0.0,PYHS
ARJFGN,F,3.2,0.5,MWHS
DZWKWZ,F,1.9,0.0,PYHS
MBOAAF,M,0.9,1.0,HJHS
VFPEHF,F,0.8,0.0,HJHS
QCMHSO,M,1.9,0.0,HJHS
VCKRPJ,F,6.3,1.5,NKHS
OSGFHU,F,2.0,0.0,MWHS
SBMCDK,M,2.9,0.0,SSHS
VCRLDD,M,3.6,0.0,SWHS
RANNUR,F,2.2,0.0,SWHS
YCYATD,F,2.8,0.0,PYHS
LSBVNT,M,0.8,1.5,SWHS
QUBZZD,M,1.6,0.0,HJHS
EQLIJG,F,2.6,0.0,NKHS
GKJVWA,F,2.5,0.0,HJHS
MZYAEJ,F,2.7,0.5,SSHS
EZOPWU,M,5.2,0.0,MWHS
TRSJNX,F,4.1,1.0,SWHS
DNHFOA,F,0.0,0.0,NKHS
OXHHFH,F,3.4,1.5,SSHS
GKCVMD,M,3.4,1.0,MWHS
LOLVSF,M,3.6,0.0,SWHS
TRDMBP,M,0.0,0.0,PYHS
DMMJJT,M,2.8,0.5,HJHS
BSELBQ,M,2.7,0.0,PYHS
WDTUEQ,F,3.0,0.0,HJHS
OZHHIM,F,1.6,0.5,MWHS
KHTHBJ,M,3.3,0.0,NKHS
NRPXYQ,M,1.5,1.5,SWHS
MRGPLU,F,1.1,0.0,SWHS
YSCDHV,F,1.0,0.0,SWHS
FXGOTV,M,2.0,0.0,PYHS
UXMTKY,M,3.1,0.0,HJHS
MRJYZH,F,4.5,1.5,PYHS
JINQGC,F,5.1,1.5,HJHS
GPQVJD,M,2.1,0.0,HJHS
ZSOMSF,M,2.2,0.0,NKHS
DQSFLI,F,1.1,0.0,MWHS
DQJAMK,F,1.6,0.0,MWHS
DZUFTQ,M,3.6,0.0,PYHS
RUDUAX,M,0.5,0.0,SWHS
WEYVIM,M,4.9,0.5,HJHS
IQJXBE,M,0.0,0.5,MWHS
RVUBDA,M,3.6,0.0,SWHS
JKGIIG,M,3.2,0.0,PYHS
LDCQJL,M,5.4,1.0,SSHS
AFVIMV,M,1.6,0.0,MWHS
FCACBC,F,3.7,0.0,SSHS
NJZSZN,M,4.4,1.5,MWHS
HDMDHH,F,6.6,0.5,PYHS
UADTGW,M,1.3,0.0,NKHS
RLXQZP,F,3.9,0.0,PYHS
QSIPZG,F,3.2,0.0,PYHS
QCUGHS,F,0.6,0.0,PYHS
HPNPRJ,M,1.7,0.0,SSHS
OJEQLU,F,1.6,0.0,PYHS
HZAOXN,F,2.6,0.0,MWHS
XKNDSB,F,5.2,0.0,SWHS
OBXMNF,F,5.5,0.0,NKHS
QBBZEC,F,3.4,0.0,HJHS
KCWDLY,F,0.9,0.5,SWHS
UVFTLK,M,3.4,0.0,HJHS
KBZNUG,M,0.8,0.0,SWHS
UPAGOW,F,5.0,0.0,MWHS
WVOMDN,M,4.0,1.0,PYHS
CJHYEQ,F,2.8,0.0,MWHS
NISPOJ,M,0.0,0.0,NKHS
VGEUMB,F,1.8,0.0,PYHS
DIQETK,M,3.8,0.0,MWHS
DIGSOA,M,1.0,0.0,PYHS
LTZLJR,F,2.5,0.0,SWHS
DOEEHU,F,3.3,0.5,HJHS
EINOTH,F,0.0,0.0,HJHS
JFIRAX,M,4.1,0.5,NKHS
WFITED,F,-0.0,0.5,PYHS
UNHTSZ,M,1.8,0.0,NKHS
ZLMYIR,M,0.7,0.0,SSHS
WNQVLI,M,4.0,0.0,SWHS
AYGBFL,M,6.5,0.0,MWHS
BGHEQQ,F,0.0,0.0,HJHS
ZLZUDY,M,3.8,0.0,SSHS
NUCPIZ,F,2.2,0.0,PYHS
GOXSAP,F,0.4,0.5,PYHS
CPMYYT,M,2.0,0.0,SWHS
TDSZPU,F,5.8,0.0,SWHS
EYIWQB,F,3.7,0.0,HJHS
QDIQHL,F,2.9,0.0,PYHS
DHEJSN,F,1.6,1.0,HJHS
IVDEFQ,M,5.1,0.5,NKHS
AZHABK,M,1.5,0.0,MWHS
FRFIIP,F,3.1,0.0,NKHS
GCMKCJ,F,1.9,0.0,NKHS
TAJGVY,F,3.9,2.0,NKHS
ACLRPD,M,3.6,0.0,HJHS
VREFEK,M,2.4,0.0,PYHS
NJTDYH,F,3.9,0.0,HJHS
WLWEDJ,F,0.4,0.0,SWHS
HBAFVI,M,3.3,0.0,SSHS
PTTYSD,M,0.8,0.0,PYHS
TGRATC,M,7.1,0.0,SSHS
WCOWWR,F,3.4,0.0,SWHS
ZBGNAG,M,2.4,1.0,MWHS
LRLJVV,F,2.4,0.0,MWHS
CRUQYO,M,1.8,0.0,NKHS
ZUKHCP,M,0.0,0.0,SWHS
KIZCNQ,F,2.1,0.5,MWHS
STQMLZ,M,1.9,0.0,SSHS
AMIQYN,M,1.4,0.5,PYHS
TNUGBL,F,2.6,0.0,SWHS
RIIENN,F,0.0,1.0,MWHS
BFRRNL,F,5.4,0.5,MWHS
UUQTAR,F,2.5,0.0,SSHS
FHERPB,F,6.2,0.0,MWHS
NMZQUG,M,4.3,0.0,NKHS
BOSREP,M,2.0,0.0,PYHS
PVFQAG,M,1.4,0.5,SWHS
BMLFKG,M,2.2,0.0,MWHS
HQBKAQ,M,0.8,0.0,HJHS
HOIAAG,M,0.2,0.5,SSHS
XAXZTP,F,0.6,0.0,HJHS
ZRLPGF,F,3.3,0.0,PYHS
VRKTNA,F,0.9,1.0,SSHS
XCPSEA,M,2.3,0.0,MWHS
TYXZBR,F,3.0,0.5,MWHS
KSDUVM,F,3.1,0.5,SSHS
QVNKIU,M,0.0,0.0,MWHS
ZPMKUT,F,1.8,0.0,HJHS
NCHTNU,M,1.4,0.0,HJHS
ZCIVMY,M,2.6,0.0,MWHS
AWCJYB,F,2.0,1.0,SSHS
SVGZTS,F,3.3,1.0,MWHS
CUKOZJ,M,5.5,0.0,HJHS
STUSCR,M,2.2,0.0,SWHS
OGKBFE,F,0.0,0.0,HJHS
FRTLWZ,M,0.9,0.0,HJHS
NWEVCG,M,4.8,0.0,NKHS
YFWVAT,M,3.0,1.0,HJHS
KAJAHP,M,0.0,1.0,SSHS
RNKWSH,F,2.9,0.0,PYHS
VXXQZH,F,1.5,0.0,NKHS
FUXLTC,M,1.5,0.5,SWHS
VROFWO,F,1.4,0.5,NKHS
UMSYQE,F,0.0,0.0,SWHS
KSSWXL,M,3.2,0.0,PYHS
SGIMLU,F,7.8,0.0,SWHS
XPQWZE,F,0.0,0.0,SWHS
RNLTFH,F,0.6,0.5,HJHS
VRKPBM,M,4.0,1.0,MWHS
JNYKQN,M,4.3,0.5,NKHS
VKMXYV,M,5.0,0.0,SWHS
UXGIWK,F,0.0,0.0,NKHS
DXQEJZ,M,1.0,0.0,MWHS
EFGEOU,M,5.3,0.0,SSHS
NUFILA,F,5.7,0.5,PYHS
JDNYZG,F,4.1,0.0,HJHS
PMAFME,F,1.8,0.0,MWHS
YJOEJL,F,3.6,1.0,HJHS
HVZIUA,F,1.0,0.0,SSHS
UGQZBB,F,0.9,0.0,PYHS
OHRBET,M,0.0,0.0,HJHS
QXHZME,F,0.2,0.0,SWHS
OBCYMX,M,2.0,0.5,NKHS
ISUJDJ,M,4.8,0.0,SSHS
UEKGQH,F,1.9,0.5,HJHS
WCBJWZ,F,0.5,0.0,SSHS
GYUVRZ,M,3.6,0.0,SWHS
KRMQXN,M,2.3,0.5,HJHS
IAJQQG,F,0.3,1.5,SWHS
MKKNCZ,M,0.0,0.0,PYHS
VOEJKG,M,2.8,0.0,NKHS
